title,price,rating,reviews,availability
PlayStation 5 Console (PS5),,4.8 out of 5 stars,"14,030 ratings",In Stock
PlayStation 5 Console CFI-1102A,,4.9 out of 5 stars,"7,332 ratings",
PlayStation 5 Pulse 3D Wireless Headset,,4.5 out of 5 stars,"19,710 ratings",Not Available
PlayStation 5 Digital Edition,,4.9 out of 5 stars,"7,198 ratings",
FIFA 23 Standard Edition Playstation 5 (PS5)| English | Import Region Free,,4.7 out of 5 stars,"1,608 ratings",Only 20 left in stock - order soon
"WD_BLACK 2TB SN850 NVMe SSD for PS5 Consoles Solid State Drive with Heatsink - Gen4 PCIe, M.2 2280, Up to 7,000 MB/s - WDBBKW0020BBK-WRSN",,4.8 out of 5 stars,"3,070 ratings",In Stock
Saga of Sins - PlayStation 5,,Previous page of related Sponsored Products,,"This item will be released on November 3, 2023."
PlayStation DualSense Wireless Controller - Starlight Blue - PlayStation 5,,4.8 out of 5 stars,"74,824 ratings",Only 7 left in stock - order soon
Xbox Series X – Forza Horizon 5 Bundle,,4.8 out of 5 stars,"21,791 ratings",Only 3 left in stock - order soon
DualSense Edge Wireless Controller,,4.8 out of 5 stars,"74,824 ratings",In Stock
$50 PlayStation Store Gift Card [Digital Code],,4.7 out of 5 stars,"261,277 ratings",Available now
Sonic Frontiers - PlayStation 5,,4.6 out of 5 stars,"1,213 ratings",In Stock
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",,4.7 out of 5 stars,"16,602 ratings",
Weird West: Definitive Edition Deluxe - PlayStation 5,,Previous page of related Sponsored Products,,"This item will be released on September 22, 2023."
Human: Fall Flat - Dream Collection - PlayStation 5,,Previous page of related Sponsored Products,,"This item will be released on August 18, 2023."
"Corsair MP600 PRO LPX 2TB M.2 NVMe PCIe x4 Gen4 SSD - Optimized for PS5 (Up to 7,100MB/sec Sequential Read & 6,800MB/sec Sequential Write Speeds, High-Speed Interface, Compact Form Factor) Black",,4.8 out of 5 stars,"2,709 ratings",In Stock
DREDGE: Deluxe Edition - PlayStation 5,,4.9 out of 5 stars,23 ratings,In Stock
The Caligula Effect 2 - PlayStation 5,,Previous page of related Sponsored Products,,"This item will be released on October 31, 2023."
Sonic Frontiers - PlayStation 4,,4.7 out of 5 stars,582 ratings,In Stock
Cult of the Lamb Standard Edition – PlayStation 5,,5.0 out of 5 stars,3 ratings,In Stock
Sonic Origins Plus - PlayStation 5,,Previous page of related Sponsored Products,,"This item will be released on June 23, 2023."
